Births;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
French Polynesia;2601;2605;2608;2611;2614;2618;2621;2624;2628;2631;2634;2638;2641;2644;2648;2651;2654;2657;2661;2664;2668;2671;2674;2678;2681;2684;2688;2691;2694;2698;2701;2705;2708;2711;2714;2714;2714;2712;2709;2704;2699;2691;2682;2670;2657;2642;2625;2607;2586;2564;2540;2514;2487;2457;2427;2395;2364;2333;2301;2269;2236;2204;2172;2140;2109;2078;2048;2018;1989;1960;1931;1903;1875;1847;1820;1794;1767;1741;1715;1690;1666;1641;1617;1593;1569;1546;1524;1501;1479;1458;1437;1416;1395;1375;1355;1335;1318;1304;1292;1283;1277;1273;1266;1268;1274;1283;1292;1300;1309;1318;1328;1337;1346;1355;1365;1374;1383;1393;1403;1413;1423;1433;1443;1453;1463;1473;1491;1516;1548;1581;1641,52380952381;1702,04761904762;1762,57142857143;1823,09523809524;1883,61904761905;1944,14285714286;2004,66666666667;2065,19047619048;2125,71428571429;2186,2380952381;2246,7619047619;2307,28571428571;2367,80952380952;2428,33333333333;2488,85714285714;2549,38095238095;2609,90476190476;2670,42857142857;2730,95238095238;2791,47619047619;2852;2886;2952;3011;3063;3108;3147;3180;3208;3234;3260;3289;3324;3366;3418;3481;3554;3635;3722;3812;3903;3992;4078;4159;4236;4310;4383;4457;4535;4619;4713;4824;4950;5088;5229;5363;5476;5559;5605;5610;5576;5504;5407;5297;5181;5070;4971;4885;4815;4763;4726;4702;4683;4666;4648;4628;4609;4591;4577;4567;4559;4554;4549;4544;4536;4524
Gabon;7114;7114;7114;7114;7114;7114;7114;7114;7114;7114;7114;7117;7123;7132;7143;7158;7175;7195;7219;7245;7275;7307;7343;7382;7424;7469;7518;7570;7625;7683;7745;7810;7875;7941;8008;8075;8143;8211;8280;8350;8420;8490;8562;8633;8706;8779;8853;8927;9002;9077;9154;9232;9311;9391;9471;9553;9634;9717;9800;9884;9969;10054;10140;10227;10315;10403;10493;10582;10673;10765;10857;10950;11044;11136;11231;11327;11424;11520;11618;11718;11818;11917;12020;12122;12224;12329;12435;12540;12647;12755;12865;12975;13086;13198;13311;13425;13540;13656;13773;13891;14010;14130;14250;14372;14495;14619;14744;14868;14995;15124;15253;15383;15515;15648;15782;15917;16054;16191;16326;16463;16601;16741;16881;17023;17166;17310;17209;17105;16973;16863;16746,2380952381;16629,4761904762;16512,7142857143;16395,9523809524;16279,1904761905;16162,4285714286;16045,6666666667;15928,9047619048;15812,1428571429;15695,380952381;15578,619047619;15461,8571428571;15345,0952380952;15228,3333333333;15111,5714285714;14994,8095238095;14878,0476190476;14761,2857142857;14644,5238095238;14527,7619047619;14411;14409;14431;14504;14629;14806;15035;15315;15645;16025;16453;16926;17439;17983;18548;19121;19689;20243;20781;21302;21810;22311;22819;23344;23895;24478;25100;25756;26444;27161;27902;28664;29439;30219;30996;31764;32520;33261;33986;34692;35376;36037;36677;37296;37894;38464;38997;39493;39960;40413;40872;41361;41899;42500;43169;43916;44746;45638;46562;47491;48382;49189;49888;50467;50922;51267
Gambia;4650;4650;4650;4650;4650;4650;4650;4650;4650;4650;4650;4652;4655;4660;4667;4675;4685;4697;4711;4726;4743;4762;4783;4805;4829;4855;4883;4913;4945;4978;5014;5051;5089;5127;5165;5204;5243;5282;5321;5361;5401;5441;5482;5523;5564;5605;5647;5689;5732;5774;5817;5861;5905;5949;5993;6038;6083;6128;6174;6220;6267;6313;6361;6408;6456;6504;6553;6602;6651;6701;6751;6801;6852;6902;6953;7005;7057;7109;7162;7216;7269;7323;7377;7432;7487;7543;7599;7655;7712;7770;7828;7886;7945;8004;8064;8124;8185;8246;8308;8370;8432;8495;8558;8622;8686;8751;8816;8881;8947;9014;9082;9149;9217;9286;9356;9425;9496;9567;9638;9710;9782;9855;9929;10003;10077;10153;10156;10159;10162;10164;10201,7619047619;10239,5238095238;10277,2857142857;10315,0476190476;10352,8095238095;10390,5714285714;10428,3333333333;10466,0952380952;10503,8571428571;10541,619047619;10579,380952381;10617,1428571429;10654,9047619048;10692,6666666667;10730,4285714286;10768,1904761905;10805,9523809524;10843,7142857143;10881,4761904762;10919,2380952381;10957;11368;12179;12967;13734;14479;15199;15893;16557;17186;17772;18311;18801;19248;19666;20075;20498;20957;21470;22049;22700;23423;24204;25026;25881;26752;27622;28486;29345;30205;31082;32000;32979;34034;35168;36380;37664;38999;40362;41738;43103;44439;45739;47007;48245;49465;50682;51920;53199;54532;55930;57392;58913;60490;62127;63838;65643;67543;69524;71566;73630;75673;77659;79567;81388;83130
Georgia;57053;57053;57053;57053;57053;57053;57053;57053;57053;57053;57053;57078;57128;57204;57305;57432;57586;57766;57972;58206;58466;58754;59070;59414;59785;60185;60614;61072;61559;62075;62622;63198;63779;64366;64959;65556;66159;66768;67383;68003;68628;69260;69897;70540;71190;71845;72506;73173;73846;74526;75211;75901;76596;77298;78007;78722;79443;80171;80906;81648;82396;83151;83913;84682;85459;86242;87032;87830;88635;89447;90267;91094;91929;92746;93596;94454;95319;96169;97050;97940;98837;99721;100635;101557;102468;103407;104355;105294;106259;107233;108215;109207;110208;111218;112237;113266;114304;115352;116409;117476;118553;118498;118560;118484;118397;118447;118338;118194;118213;118070;117913;117894;117713;117519;117472;117252;117019;116936;116682;116411;116295;115995;115681;115525;115180;114820;114622;114230;113821;113579;112741,285714286;111903,571428571;111065,857142857;110228,142857143;109390,428571429;108552,714285714;107715;106877,285714286;106039,571428571;105201,857142857;104364,142857143;103526,428571429;102688,714285714;101851;101013,285714286;100175,571428571;99337,8571428571;98500,1428571429;97662,4285714286;96824,7142857143;95987;96601;97854;99159;100515;101911;103300;104636;105818;106666;106987;106603;105382;103320;100576;97499;94545;92124;90517;89819;89964;90724;91715;92623;93321;93758;93970;94096;94247;94443;94741;95201;95791;96428;97007;97352;97267;96616;95317;93344;90686;87378;83602;79568;75453;71428;67635;64167;61121;58606;56769;55724;55409;55699;56457;57470;58494;59317;59779;59789;59332;58478;57403;56259;55109;53994
Germany;869337;873018;875250;878955;881200;884931;887189;890945;893215;896997;899575;903831;907029;912200;916253;922282;927127;984289;995096;1006271;1017760;1022021;1026499;1031217;1036177;1041465;1032006;1022555;1013161;1003849;994588;1010794;1027039;1043291;1059583;1076005;1087114;1097977;1108446;1118693;1128988;1145039;1161189;1177230;1193095;1208676;1217481;1226191;1234870;1243543;1252269;1228142;1203500;1178473;1153104;1127261;1165620;1204328;1243533;1283568;1324347;1343491;1362648;1382108;1402248;1423148;1442890;1463517;1484735;1506476;1528536;1560201;1592009;1623017;1655163;1687676;1677876;1667571;1657861;1648081;1638509;1641134;1643454;1645667;1661778;1678183;1694592;1709395;1726795;1747082;1768390;1791243;1815471;1840900;1858296;1876365;1895269;1915218;1936156;1940638;1945223;1949618;1953431;1956766;1966392;1975646;1984392;1992280;1999720;1970765;1938581;1905556;1867366;1828446;1668409;1499384;1319426;1136151;932086;996056;1062449;1156881;1252989;1348339;1344665;1341223;1272689;1202452;1222541;1055234;1055833,66666667;1056433,33333333;1057033;1057632,66666667;1058232,33333333;1058832;1059431,66666667;1060031,33333333;1060631;1061230,66666667;1061830,33333333;1062430;1063029,66666667;1063629,33333333;1064229;1064828,66666667;1065428,33333333;1066028;1066627,66666667;1067227,33333333;1067827;1074734;1089637;1106716;1125972;1147372;1170765;1195774;1221767;1247740;1272357;1294020;1310807;1320726;1322005;1311510;1286249;1246555;1194467;1132833;1066265;1000199;939699;888803;849844;823837;809926;804402;803852;806655;811676;818353;826421;835212;843517;849738;852420;851203;846194;837706;826935;815617;805391;797303;791532;787394;783532;778346;770770;760641;748196;734111;719661;706006;693814;683646;675797;670061;666224;664260;664215;666103;669618;674311;679712;685299
Ghana;89753;89753;89753;89753;89753;89753;89753;89753;89753;89753;89753;89732;89690;89628;89545;89442;89319;89175;89011;88827;88623;88400;88156;87893;87610;87308;86987;86646;86286;85907;85509;85093;84678;84265;83854;83445;83039;82634;82231;81830;81431;81034;80639;80246;79855;79466;79078;78693;78309;77927;77547;77170;76795;76421;76050;75680;75311;74945;74581;74218;73857;73534;73249;73003;72795;72625;72494;72401;72346;72331;72353;72414;72514;72470;72661;72894;73169;73404;73801;74245;74692;75135;75587;76042;76493;76954;77417;77878;78346;78818;79292;79770;80250;80733;81219;81708;82200;82695;83193;83693;84197;84704;85209;85722;86238;86757;87279;87797;88326;88858;89392;89928;90470;91572;93251;95525;97855;100242;102685;105189;107753;110380;113071;115827;118651;121543;124507;127360;130465;133645;137865,19047619;142085,380952381;146305,571428571;150525,761904762;154745,952380952;158966,142857143;163186,333333333;167406,523809524;171626,714285714;175846,904761905;180067,095238095;184287,285714286;188507,476190476;192727,666666667;196947,857142857;201168,047619048;205388,238095238;209608,428571429;213828,619047619;218048,80952381;222269;225999;233709;241921;250636;259849;269541;279677;290193;300986;311926;322864;333637;344093;354126;363664;372695;381300;389553;397473;405031;412179;418944;425411;431703;437977;444395;451098;458208;465819;474036;482918;492372;502258;512453;522809;533176;543402;553337;562857;571726;579720;586908;593500;599769;606175;613248;621405;630934;641954;654365;667869;682032;696538;711314;726705;743260;761207;780394;800305;819967;838215;854117;867069;876879;883687
Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;96802;97152;97503;97855;98208;98563;98919;99276;99635;99995;100380;100769;101190;101638;102117;102626;103167;103739;104343;104979;105648;106348;107083;107852;108654;109491;110362;111268;112211;113189;114204;115256;116319;117390;118472;119565;120666;121776;122899;124031;125173;126326;127489;128664;129849;131044;132251;133470;134694;135934;137186;133311;129354;125317;121196;116991;112701;108326;103864;99307;94665;99219;97913;96581;101615;96972;105969;101628;102940;104277;102707;104793;106542;103748;110825;108072;114548;111329;107309;98817;98194;99553;103420;103622;119698;120470;127648;134929;142371;149947;156772;156295;155795;155270;154717;154137;153486;152760;151963;151091;150151;149140;148145;146973;145723;144399;143050;141660;140262;138826;137354;135855;134295;132728;131162;129595;128001;126381;124775;123130;122138;121172;125072;111545;114915;155264;178357;173556;186131;178490;176458,714285714;174427,428571429;172396,142857143;170364,857142857;168333,571428571;166302,285714286;164271;162239,714285714;160208,428571429;158177,142857143;156145,857142857;154114,571428571;152083,285714286;150052;148020,714285714;145989,428571429;143958,142857143;141926,857142857;139895,571428571;137864,285714286;135833;138207;142614;146337;149377;151739;153449;154541;155080;155181;154974;154598;154185;153819;153513;153117;152391;151168;149418;147258;145035;143208;142098;141846;142381;143426;144550;145241;145104;143960;141679;138260;134016;129302;124376;119563;115174;111391;108339;106099;104664;103927;103642;103583;103634;103668;103597;103448;103278;103134;103225;103825;105045;106841;109034;111224;112907;113681;113302;111727;109082;105659;101932;98310;95004;92143
Greenland;334;333;332;332;331;330;329;329;328;328;327;326;326;326;325;325;325;325;325;326;326;327;327;327;328;329;330;331;333;334;336;337;338;340;342;343;345;346;348;350;351;352;354;356;357;359;361;363;364;366;367;369;370;372;374;376;377;379;381;382;384;385;387;389;391;404;412;419;426;433;441;448;456;463;471;479;480;482;483;485;487;488;490;492;493;495;502;508;515;522;529;536;543;550;557;564;568;572;576;580;583;587;591;595;599;603;608;613;618;623;628;634;639;644;649;655;668;681;694;707;720;734;748;762;776;790;801;812;822;833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenada;1194;1194;1194;1194;1194;1194;1194;1194;1194;1194;1194;1194;1194;1195;1196;1197;1198;1200;1201;1203;1205;1208;1210;1213;1216;1219;1223;1227;1231;1235;1239;1244;1248;1253;1258;1262;1267;1272;1276;1281;1286;1291;1295;1299;1303;1306;1308;1311;1313;1314;1315;1316;1317;1320;1323;1327;1333;1339;1346;1354;1363;1373;1383;1395;1407;1420;1435;1450;1466;1484;1502;1521;1543;1565;1587;1610;1634;1655;1681;1707;1734;1756;1788;1821;1850;1888;1928;1970;2014;2058;2102;2145;2188;2231;2274;2316;2358;2396;2433;2468;2500;2531;2565;2591;2613;2633;2649;2666;2682;2699;2712;2726;2729;2725;2721;2717;2714;2710;2706;2701;2697;2698;2703;2712;2722;2731;2728;2729;2725;2726;2721,14285714286;2716,28571428571;2711,42857142857;2706,57142857143;2701,71428571429;2696,85714285714;2692;2687,14285714286;2682,28571428571;2677,42857142857;2672,57142857143;2667,71428571429;2662,85714285714;2658;2653,14285714286;2648,28571428571;2643,42857142857;2638,57142857143;2633,71428571429;2628,85714285714;2624;2769;3044;3287;3496;3672;3814;3920;3988;4014;3993;3923;3804;3643;3452;3249;3058;2894;2769;2689;2652;2647;2657;2668;2677;2684;2697;2722;2764;2821;2889;2963;3035;3096;3141;3160;3146;3098;3020;2917;2794;2664;2534;2416;2313;2228;2160;2103;2053;2009;1973;1947;1931;1927;1931;1944;1962;1983;2004;2022;2036;2045;2049;2049;2044;2033
Guadeloupe;3179;3179;3179;3179;3179;3179;3179;3179;3179;3179;3179;3180;3182;3186;3190;3196;3203;3211;3220;3230;3242;3255;3269;3284;3300;3318;3337;3357;3378;3401;3425;3450;3476;3501;3527;3553;3579;3606;3633;3659;3686;3714;3741;3769;3796;3824;3853;3881;3910;3939;3968;3997;4026;4056;4086;4116;4146;4176;4207;4238;4269;4300;4332;4364;4396;4428;4460;4493;4526;4559;4593;4627;4661;4694;4729;4763;4798;4833;4868;4904;4940;4975;5012;5049;5085;5123;5160;5198;5236;5274;5313;5352;5391;5431;5471;5511;5551;5592;5633;5675;5716;5758;5800;5843;5885;5929;5972;6015;6060;6104;6149;6194;6239;6285;6331;6378;6425;6472;6520;6568;6616;6665;6714;6764;6814;6864;6915;6966;7017;7069;7147,42857142857;7225,85714285714;7304,28571428571;7382,71428571429;7461,14285714286;7539,57142857143;7618;7696,42857142857;7774,85714285714;7853,28571428571;7931,71428571429;8010,14285714286;8088,57142857143;8167;8245,42857142857;8323,85714285714;8402,28571428571;8480,71428571429;8559,14285714286;8637,57142857143;8716;8810;8993;9167;9331;9485;9630;9764;9888;10001;10101;10188;10259;10310;10337;10333;10292;10212;10093;9936;9744;9522;9278;9019;8754;8484;8206;7922;7639;7372;7145;6988;6913;6919;6998;7122;7255;7360;7414;7409;7354;7270;7189;7134;7111;7118;7143;7169;7181;7176;7154;7120;7082;7047;7013;6978;6937;6883;6815;6732;6634;6523;6404;6283;6163;6050
Guam;267;277;286;296;307;317;329;340;352;364;386;399;413;428;443;458;474;491;508;526;545;564;583;604;625;647;670;693;718;743;769;796;824;853;883;914;946;979;1014;1049;1086;1120;1151;1179;1204;1225;1244;1260;1273;1283;1289;1294;1295;1292;1287;1279;1267;1252;1233;1211;1186;1157;1129;1101;1074;1048;1022;997;973;949;926;904;882;858;837;817;797;776;757;739;721;702;685;668;651;635;619;603;589;574;560;547;533;520;508;495;485;478;472;469;467;468;466;472;480;491;501;511;521;532;542;552;561;570;579;588;597;607;616;626;639;655;676;697;718;741;759;779;799;819;868,142857142857;917,285714285714;966,428571428571;1015,57142857143;1064,71428571429;1113,85714285714;1163;1212,14285714286;1261,28571428571;1310,42857142857;1359,57142857143;1408,71428571429;1457,85714285714;1507;1556,14285714286;1605,28571428571;1654,42857142857;1703,57142857143;1752,71428571429;1801,85714285714;1851;1866;1900;1948;2008;2081;2164;2256;2354;2451;2539;2613;2664;2690;2692;2678;2656;2638;2632;2643;2671;2712;2759;2806;2849;2885;2912;2931;2943;2952;2962;2981;3012;3057;3114;3177;3237;3287;3321;3340;3346;3346;3349;3360;3378;3400;3422;3435;3435;3420;3388;3339;3278;3210;3139;3070;3007;2953;2911;2882;2866;2863;2869;2881;2896;2914
Guatemala;20491;20759;21030;21305;21583;21865;22151;22440;22733;23030;23403;23707;24014;24324;24636;24951;25268;25588;25911;26236;26564;26895;27228;27564;27903;28245;28589;28937;29287;29640;29996;30355;30718;31085;31457;31833;32214;32599;32989;33383;33783;34187;34596;35010;35430;35854;36284;36719;37160;37605;38057;38525;38998;39478;39963;40455;40953;41457;41967;42484;43008;43529;44047;44563;45076;45586;46092;46596;47096;47593;48086;48575;49061;49571;50045;50515;50979;51446;51890;52327;52767;53202;53650;54102;54549;55009;55472;55932;56403;56878;57357;57839;58326;58818;59313;59812;60326;60859;61410;61980;62567;62632;62758;62845;63037;63145;63346;65578;67184;68819;70474;72151;73866;73550;73245;72917;72581;72222;74684;77188;79743;82352;85015;86221;87434;88653;89897;91165;90998;90807;94466,7142857143;98126,4285714286;101786,142857143;105445,857142857;109105,571428571;112765,285714286;116425;120084,714285714;123744,428571429;127404,142857143;131063,857142857;134723,571428571;138383,285714286;142043;145702,714285714;149362,428571429;153022,142857143;156681,857142857;160341,571428571;164001,285714286;167661;167989;168878;170233;172054;174338;177074;180243;183812;187725;191915;196310;200838;205449;210125;214882;219772;224870;230234;235884;241847;248137;254716;261525;268506;275657;282992;290451;297904;305186;311974;317914;322872;326868;330037;332722;335387;338481;342325;347035;352612;358905;365530;372131;378507;384498;390017;395072;399654;403696;407060;409617;411402;412543;413207;413672;414261;415226;416737;418868;421593;424782;428167;431512;434699;437647
Guernsey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;41807;41807;41807;41807;41807;41807;41807;41807;41807;41807;41807;41825;41860;41914;41985;42075;42183;42310;42455;42619;42803;43005;43227;43469;43730;44012;44313;44635;44977;45340;45724;46128;46536;46948;47364;47783;48206;48633;49063;49497;49935;50377;50823;51273;51727;52185;52647;53113;53583;54057;54535;55016;55501;55991;56485;56983;57486;57993;58504;59020;59541;60066;60595;61130;61669;62213;62762;63315;63874;64437;65005;65579;66157;66723;67312;67905;68504;69092;69702;70316;70937;71547;72178;72815;73444;74092;74745;75393;76058;76728;77405;78088;78776;79471;80172;80879;81593;82312;83038;83770;84509;85255;85995;86754;87519;88291;89070;89839;90631;91431;92237;93046;93866;94694;95529;96372;97222;98079;98948;99824;100708;101599;102498;103405;104321;105244;106017;106955;107740;108694;110521,285714286;112348,571428571;114175,857142857;116003,142857143;117830,428571429;119657,714285714;121485;123312,285714286;125139,571428571;126966,857142857;128794,142857143;130621,428571429;132448,714285714;134276;136103,285714286;137930,571428571;139757,857142857;141585,142857143;143412,428571429;145239,714285714;147067;148015;149907;151789;153662;155526;157384;159241;161105;162990;164913;166894;168953;171107;173369;175759;178293;180958;183723;186554;189375;192095;194674;197114;199449;201726;204008;206414;209076;212105;215579;219534;223993;229008;234672;241180;248740;257380;267016;277489;288612;300158;311800;323184;334011;343931;352670;360233;366709;372185;376838;380917;384758;388669;392860;397501;402671;408271;414200;420422;426871;433461;440097;446691;453193;459574
Guinea-Bissau;10848;10848;10848;10848;10848;10848;10848;10848;10848;10848;10848;10851;10858;10869;10882;10900;10921;10946;10974;11006;11041;11081;11123;11170;11221;11275;11333;11395;11460;11530;11604;11681;11759;11838;11917;11996;12076;12157;12238;12320;12402;12485;12568;12652;12737;12822;12907;12993;13080;13167;13255;13350;13445;13540;13637;13734;13832;13930;14029;14129;14230;14331;14433;14536;14639;14744;14849;14954;15061;15168;15276;15385;15494;15602;15713;15825;15938;16049;16163;16278;16394;16509;16626;16744;16862;16982;17102;17223;17345;17468;17593;17718;17844;17971;18099;18227;18357;18488;18619;18752;18885;19019;19153;19289;19426;19564;19704;19842;19983;20125;20268;20411;20556;20703;20850;20998;21147;21298;21437;21580;21724;21869;22015;22162;22310;22459;22753;23050;23350;23653;23747,3333333333;23841,6666666667;23936;24030,3333333333;24124,6666666667;24219;24313,3333333333;24407,6666666667;24502;24596,3333333333;24690,6666666667;24785;24879,3333333333;24973,6666666667;25068;25162,3333333333;25256,6666666667;25351;25445,3333333333;25539,6666666667;25634;25596;25534;25498;25491;25510;25558;25633;25738;25874;26044;26250;26497;26790;27133;27535;28003;28537;29137;29796;30504;31246;32011;32795;33598;34440;35351;36343;37416;38553;39716;40861;41945;42939;43832;44629;45350;46034;46709;47383;48054;48708;49328;49909;50457;50982;51498;52024;52577;53172;53820;54526;55288;56099;56958;57871;58843;59865;60923;61999;63067;64104;65090;66010;66853;67613
